Designator,Mid X,Mid Y,Rotation,Layer
C1,14.67,36.06,180.0,top
C10,-1.15,30.064902,270.0,top
C11,-3.32,31.184902,225.0,top
C12,-4.39,34.87,225.0,bottom
C13,-4.31,39.035,225.0,bottom
C14,2.03,31.924902,270.0,top
C15,1.1,32.364902,270.0,top
C16,2.385,37.845,45.0,bottom
C17,0.11,39.995,225.0,bottom
C18,-5.985,31.03,0.0,bottom
C19,11.055,32.9675,0.0,bottom
C2,-7.525,40.34,90.0,top
C20,9.445,40.1625,90.0,bottom
C22,4.345,40.33,270.0,top
C23,-5.985,32.68,0.0,bottom
C24,4.52,31.075,270.0,bottom
C25,-6.185,31.84,0.0,bottom
C26,16.52,36.06,180.0,top
C27,16.495,38.785,180.0,top
C3,-7.595,36.19,270.0,top
C4,14.67,38.785,180.0,top
C5,7.76,34.945,0.0,top
C6,-4.83,38.495,45.0,bottom
C7,2.57,33.424902,315.0,top
C8,-0.23,30.924902,270.0,top
C9,-2.67,30.524902,225.0,top
D1,11.145,37.55,270.0,top
D2,9.995,37.55,270.0,top
D3,12.295,37.55,270.0,top
D4,16.965,37.36,90.0,bottom
D5,14.965,37.36,270.0,bottom
J1,20.845,35.35,90.0,top
J2,14.865,33.25,90.0,top
J3,5.88,42.971224,90.0,bottom
J4,5.88,27.731224,90.0,bottom
J5,14.225,29.91,270.0,top
R1,4.935,34.973678,0.0,top
R10,9.995,35.75,270.0,top
R11,11.82,35.75,270.0,top
R13,4.52,32.6,270.0,bottom
R14,5.945,34.1,90.0,bottom
R2,13.275,38.875,90.0,top
R29,4.945,35.9,180.0,top
R3,2.5,30.544902,180.0,top
R4,2.51,29.624902,180.0,top
R5,-7.485,38.46,270.0,top
R6,19.58,31.438776,180.0,bottom
R7,19.645,39.85,0.0,bottom
R8,18.22,30.25,270.0,bottom
R9,10.995,35.75,270.0,top
U1,16.48,37.41,270.0,top
U10,-7.335,31.77,180.0,top
U2,6.335,33.273678,0.0,top
U3,-1.741878,36.725965,225.0,top
U4,10.955,36.1925,90.0,bottom
U5,8.035,31.645,180.0,bottom
U6,6.055,38.77,270.0,top
U8,14.67,37.41,270.0,top
U9,6.195,39.45,0.0,bottom
Y1,-9.975,38.51,270.0,top
