Comment,Designator,Footprint,LCSC
W25Q16JVSNIQ,U2,SOIC-8_3.9x4.9mm_P1.27mm,C115407
1k,"R1,R10,R5,R9",C_0402_1005Metric,C11702
LED,D2,LED_0603_1608Metric,C126319
445C25D12M00000,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C148313
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C5,C6,C7,C9",C_0402_1005Metric,C1525
27p,"C2,C3",C_0402_1005Metric,C1557
RP2040,U3,RP2040-QFN-56,C2040
27,"R3,R4",C_0402_1005Metric,C25100
5.1k,"R6,R7",C_0402_1005Metric,C25905
LED,D1,LED_0603_1608Metric,C2693608
1u,C4,C_0805_2012Metric,C28323
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_G-Switch_GT-USB-7051x,C2843970
AP2112K-3.3,U1,SOT-23-5,C51118
1u,"C10,C8",C_0402_1005Metric,C52923
74VHCT245,U4,DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,C549170
1u,C1,C_0805_2012Metric,
Conn_01x02,J2,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x16,J4,PinHeader_1x16_P2.54mm_Vertical,
Conn_01x16,J3,PinHeader_1x16_P2.54mm_Vertical,
