Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,-44.005,56.449,180.0,top
C2,27p,C_0402_1005Metric,-41.855,22.799,-90.0,top
C3,27p,C_0402_1005Metric,-41.855,18.699,-90.0,top
C4,1u,C_0805_2012Metric,-44.005,48.829,180.0,top
C5,100n,C_0402_1005Metric,-45.505,47.049,180.0,top
C6,100n,C_0402_1005Metric,-38.905,22.949,-90.0,top
C7,100n,C_0402_1005Metric,-42.005,35.749,90.0,top
C8,1u,C_0402_1005Metric,-38.205,34.549,90.0,top
C9,100n,C_0402_1005Metric,-45.305,34.529,90.0,top
C10,1u,C_0402_1005Metric,-40.005,35.749,90.0,top
C11,100n,C_0402_1005Metric,-45.905,27.349,-90.0,top
C12,100n,C_0402_1005Metric,-39.955,22.949,-90.0,top
C13,100n,C_0402_1005Metric,-35.205,28.799,90.0,top
C14,100n,C_0402_1005Metric,-35.205,34.549,90.0,top
C15,100n,C_0402_1005Metric,-36.205,34.549,90.0,top
C16,100n,C_0402_1005Metric,-37.205,34.549,90.0,top
C17,100n,C_0402_1005Metric,-41.005,35.749,90.0,top
C18,100n,C_0402_1005Metric,-34.955,19.149,-90.0,top
D1,LED,LED_0603_1608Metric,-45.505,39.049,90.0,top
D2,LED,LED_0603_1608Metric,-35.505,39.049,-90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7051x,-38.94,52.449,-90.0,top
R1,1k,C_0402_1005Metric,-44.555,43.149,90.0,top
R3,27,C_0402_1005Metric,-38.945,36.949,-90.0,top
R4,27,C_0402_1005Metric,-37.945,36.949,-90.0,top
R5,1k,C_0402_1005Metric,-41.855,20.774,-90.0,top
R6,5.1k,C_0402_1005Metric,-35.155,54.274,-90.0,top
R7,5.1k,C_0402_1005Metric,-37.28,45.874,90.0,top
R9,1k,C_0402_1005Metric,-45.755,41.549,90.0,top
R10,1k,C_0402_1005Metric,-35.255,36.549,-90.0,top
U1,AP2112K-3.3,SOT-23-5,-44.005,52.639,180.0,top
U2,W25Q16JVSNIQ,SOIC-8_3.9x4.9mm_P1.27mm,-41.305,42.749,0.0,top
U3,RP2040,RP2040-QFN-56,-40.305,28.8865,0.0,top
U4,74VHCT245,DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,-38.355,19.2115,180.0,top
Y1,445C25D12M00000,Crystal_SMD_5032-2Pin_5.0x3.2mm,-44.3204,20.6336,-90.0,top
