Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,1u,C28323
"C10, C8",0402,2,1u,C52923
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C5, C6, C7, C9",0402,16,100n,C1525
"C2, C3",0402,2,27p,C1557
D1,0603,1,LED,C510027
D2,0603,1,LED,C2922668
D3,0603,1,LED,C2925173
J1,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0,C2843970
"R1, R10, R2, R5, R8, R9",0402,6,1k,C11702
"R3, R4",0402,2,27,C25100
"R6, R7",0402,2,5.1k,C25905
U1,SOT-23-5,1,AP2112K-3.3,C51118
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q16JVSNIQ,C115407
U3,RP2040-QFN-56,1,RP2040,C2040
U4,DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,1,74VHCT245,C549170
"U5, U6",TSSOP-24_4.4x7.8mm_P0.65mm,2,74LVC827,C2652112
U7,RUG8,1,TCA5405RUGR,C2674123
U8,SOT-353_SC-70-5,1,74AHCT1G126,C148200
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,445C25D12M00000,C148313
