Designator,Mid X,Mid Y,Rotation,Layer
C1,16.89,37.531224,270.0,top
C10,-3.715,30.019902,270.0,top
C11,-5.885,31.139902,225.0,top
C12,-6.955,34.825,225.0,bottom
C13,-8.925,39.38,180.0,top
C14,-0.535,31.879902,270.0,top
C15,-1.465,32.319902,270.0,top
C16,-0.18,37.8,45.0,bottom
C17,-2.455,39.95,225.0,bottom
C18,-15.855,33.9,180.0,top
C19,10.345,32.275,0.0,bottom
C2,-13.045,40.35,90.0,top
C20,8.595,39.875,90.0,bottom
C21,7.195,41.08,0.0,top
C22,12.545,34.625,270.0,top
C23,-9.725,34.02,270.0,top
C24,1.82,31.8,0.0,bottom
C25,-16.055,34.8,180.0,top
C3,-13.055,36.55,270.0,top
C4,15.54,34.331224,0.0,top
C5,5.195,34.9,0.0,top
C6,-9.805,38.68,180.0,top
C7,0.005,33.379902,315.0,top
C8,-2.795,30.879902,270.0,top
C9,-5.235,30.479902,225.0,top
D1,12.395,31.2,0.0,top
D2,19.54,29.581224,0.0,top
D3,19.54,41.081224,0.0,top
D4,16.845,35.45,90.0,bottom
D5,14.845,35.45,270.0,bottom
J1,21.24,35.331224,90.0,top
J5,-9.555,40.92,270.0,top
R1,2.37,34.928678,0.0,top
R10,17.255,30.72,180.0,top
R11,-1.75,29.46,0.0,top
R2,17.235,39.92,180.0,top
R3,-0.065,30.499902,180.0,top
R4,-0.055,29.579902,180.0,top
R5,-13.005,38.47,270.0,top
R6,19.975,31.42,180.0,bottom
R7,19.32,39.431224,180.0,bottom
R8,7.945,34.95,270.0,top
R9,12.32,32.425,0.0,top
U1,13.99,37.431224,90.0,top
U10,-12.705,32.1,270.0,top
U2,3.77,33.228678,0.0,top
U3,-4.306878,36.680965,225.0,top
U4,10.245,35.5,90.0,bottom
U5,5.47,31.6,180.0,bottom
U7,5.06,40.2,180.0,top
U8,10.22,35.575,90.0,top
U9,5.345,39.1625,0.0,bottom
Y1,-15.495,38.52,270.0,top
